OBJECTID-esriFieldTypeOID,NVCSName-esriFieldTypeString,NVCSLevel-esriFieldTypeString,MapClass-esriFieldTypeString,MapClassID-esriFieldTypeString,Poly_ID-esriFieldTypeInteger,X_Centroid-esriFieldTypeDouble,Y_Centroid-esriFieldTypeDouble,CALVEGName-esriFieldTypeString,CALVEGCode-esriFieldTypeString,CWHRType-esriFieldTypeString,CWHRCode-esriFieldTypeString,GlobalRank-esriFieldTypeString,StateRank-esriFieldTypeString,Rare-esriFieldTypeString,CaCode-esriFieldTypeString,NVCSAlliance-esriFieldTypeString,NVCSGroup-esriFieldTypeString,NVCSMG-esriFieldTypeString,Acres-esriFieldTypeDouble,Hectares-esriFieldTypeDouble
68514,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,68514,345837.58583922,4038327.38586649,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,2.02109566,0.81790839
68588,Sequoiadendron giganteum,Alliance,Giant Sequoia-White Fir-California Red Fir Forest Association,4023,68588,348922.69735015,4037482.98836451,Mixed Conifer - Fir,MF,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,327.46849622,132.5217987
69012,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,69012,344681.54904039,4037506.99728112,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,147.20898529,59.57336275
69014,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,69014,349918.10992708,4036926.67048675,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,429.65446617,173.87499358
69069,Sequoiadendron giganteum,Alliance,Giant Sequoia-White Fir-California Red Fir Forest Association,4023,69069,345824.6515751,4037684.04109694,Mixed Conifer - Fir,MF,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,51.06131299,20.66378024
69506,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,69506,343525.08484398,4037402.37149894,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,13.14278462,5.31869623
69516,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,69516,350404.64208768,4037169.53467994,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,19.85895298,8.03663314
70020,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,70020,350369.51075254,4036804.69649561,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,31.44009088,12.72335337
70022,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,70022,348072.89448572,4036279.40357698,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,157.04570515,63.55414205
70076,Sequoiadendron giganteum,Alliance,Giant Sequoia-White Fir-California Red Fir Forest Association,4023,70076,346684.19680874,4036475.76357269,Mixed Conifer - Fir,MF,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,19.15486162,7.75169747
70544,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,70544,347123.63304371,4035927.31123446,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,37.37213484,15.12396639
70547,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,70547,351953.83725233,4036200.30114151,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,16.89052504,6.83535297
70554,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,70554,351344.85445979,4035646.06357289,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,280.23612771,113.40753732
70559,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,70559,353041.27224737,4035862.49820798,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,19.40846454,7.85432694
70563,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,70563,350016.99641582,4035873.4193708,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,9.78821973,3.96115198
71054,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,71054,350244.48115031,4035672.1036028,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,26.76770957,10.83250773
71067,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,71067,344571.12912874,4035406.36079294,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,17.52823855,7.09342647
71106,Sequoiadendron giganteum,Alliance,Giant Sequoia-White Fir-California Red Fir Forest Association,4023,71106,351625.76869272,4035013.20749654,Mixed Conifer - Fir,MF,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,107.55942382,43.52775451
71535,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,71535,350211.40309023,4034415.2993521,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,143.5158513,58.07880445
71585,Sequoiadendron giganteum,Alliance,Giant Sequoia-White Fir-California Red Fir Forest Association,4023,71585,351069.56585238,4034711.57628169,Mixed Conifer - Fir,MF,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,35.22511579,14.2550986
72018,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,72018,350872.12177799,4034341.01371935,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,23.71880428,9.59865954
73536,Sequoiadendron giganteum,Alliance,Giant Sequoia Forest Alliance,4020,73536,339556.87650481,4031791.86271886,Big Tree (Giant Sequoia),BT,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,46.60081517,18.85868081
74045,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,74045,347142.66838897,4031845.43781059,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,6.86195287,2.7769338
74059,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,74059,345330.12700664,4030781.33295047,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,83.55131181,33.81201628
74062,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,74062,348399.28754857,4030971.13508343,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,52.46593483,21.23221053
74064,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,74064,347413.20893758,4030874.65672695,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,31.65595655,12.8107111
74538,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,74538,339333.71942993,4030171.73908019,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,154.79178083,62.64201124
74541,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,74541,344437.56199161,4029977.33892368,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,291.65997929,118.03060603
75030,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,75030,343681.04764675,4030245.41929028,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,12.85089802,5.20057391
75512,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,75512,343149.59722145,4029657.82259637,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,22.7714861,9.21529347
75515,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,75515,340977.23252992,4029208.64979695,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,32.80366506,13.27517226
75520,Sequoiadendron giganteum,Alliance,Giant Sequoia Forest Alliance,4020,75520,340360.90814412,4029604.3486585,Big Tree (Giant Sequoia),BT,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,36.88887792,14.92839925
75524,Sequoiadendron giganteum,Alliance,Giant Sequoia Forest Alliance,4020,75524,339758.34944572,4029677.13233964,Big Tree (Giant Sequoia),BT,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,24.92941703,10.08857714
75569,Sequoiadendron giganteum,Alliance,Giant Sequoia-White Fir-California Red Fir Forest Association,4023,75569,344579.20502044,4029335.55613188,Mixed Conifer - Fir,MF,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,107.86680086,43.65214558
76528,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,76528,342220.15902615,4027383.39711572,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,6.59063879,2.66713689
77034,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,77034,341671.67969457,4027171.46736018,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,8.76284917,3.54619924
77035,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,77035,345242.43800997,4026732.11762544,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,150.58958663,60.94144358
77540,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,77540,346127.12774717,4026001.9097504,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,67.51014879,27.32038792
77543,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,77543,345120.59275218,4025700.57095727,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,4.56368711,1.84685864
77544,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,77544,344616.56716159,4025438.78030734,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,13.97372792,5.65496705
77547,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,77547,347446.27188176,4025388.14931096,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,48.14510157,19.48363135
78047,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,78047,346751.03748594,4024808.42655195,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,240.17646891,97.19596857
78576,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,78576,345595.77019965,4022854.95827017,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,664.6419614,268.971059
78684,Sequoiadendron giganteum,Alliance,Giant Sequoia-White Fir-California Red Fir Forest Association,4023,78684,347313.26853029,4022931.87131129,Mixed Conifer - Fir,MF,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,56.12941045,22.71476651
78694,Sequoiadendron giganteum,Alliance,Giant Sequoia-White Fir-California Red Fir Forest Association,4023,78694,346243.89181448,4021852.64191446,Mixed Conifer - Fir,MF,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,397.48790357,160.85764753
79055,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,79055,344723.31962996,4022042.13267137,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,15.0668442,6.09733552
79056,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,79056,341542.12456532,4022265.56887601,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,4.31470301,1.74609836
79061,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,79061,344831.56305433,4021698.69081579,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,6.82807419,2.76322358
79517,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,79517,345013.16788214,4021553.80778424,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,1.74765158,0.7072495
79526,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,79526,341347.79898718,4020894.68217248,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,10.81871192,4.37817738
79527,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,79527,346351.75175787,4019507.30034444,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,776.35392902,314.17928837
79534,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,79534,347850.83742694,4019949.45845978,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,218.55796583,88.44727076
80043,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,80043,345903.16382254,4020056.23748065,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,12.58657678,5.09360691
80044,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,80044,341481.36119894,4020008.76571964,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,13.78815033,5.57986647
80046,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,80046,346207.35687658,4019806.50933138,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,22.47160969,9.0939378
80049,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,80049,345280.92606342,4019676.3353128,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,12.80431979,5.18172437
80052,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,80052,348407.72602472,4019306.82903979,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,28.26495441,11.43842123
80053,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,80053,348174.34360549,4019198.45213024,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,9.80718689,3.96882772
80054,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,80054,345686.32289473,4019141.7771901,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,0.22868037,0.09254366
80055,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,80055,345642.38438254,4018750.61284507,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,23.71004497,9.59511477
80056,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,80056,347962.390464,4018908.01049172,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,20.98326142,8.49162462
80059,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,80059,347399.05417888,4018392.36626658,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,114.53607452,46.35110487
80065,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,80065,347164.82861301,4017960.73873949,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,0.30517542,0.12350011
80157,Sequoiadendron giganteum,Alliance,Giant Sequoia-White Fir-California Red Fir Forest Association,4023,80157,348173.80763351,4019094.36390346,Mixed Conifer - Fir,MF,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,0.74714733,0.30235979
81534,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,81534,342436.05814749,4048136.44128959,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,1557.76403632,630.40473949
81539,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,81539,354342.93663981,4044895.17190891,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,2.68688846,1.08734518
